iter	RMSE
0	12.35610513
1	12.34334897
2	12.32891187
3	12.31652924
4	12.30419968
5	12.29324647
6	12.28629538
7	12.27798825
8	12.26651631
9	12.25587073
10	12.24242198
11	12.23387779
12	12.22644954
13	12.2173578
14	12.21101574
15	12.20235396
16	12.19406443
17	12.18636515
18	12.17746811
19	12.16905454
20	12.1571181
21	12.14598485
22	12.13808398
23	12.13287656
24	12.12661539
25	12.11007501
26	12.10385927
27	12.09729128
28	12.09307041
29	12.08670868
30	12.07682619
31	12.07225711
32	12.06758389
33	12.06289566
34	12.05565623
35	12.04925982
36	12.04365726
37	12.03341184
38	12.02368303
39	12.01862653
40	12.01274321
41	12.00428887
42	12.00160496
43	11.99690551
44	11.98622535
45	11.9799521
46	11.97516676
47	11.97069667
48	11.96072983
49	11.95304145
50	11.94835987
51	11.94266288
52	11.93675958
53	11.92876462
54	11.92333374
55	11.91503282
56	11.90674202
57	11.90396736
58	11.89849393
59	11.89301383
60	11.88058323
61	11.87031753
62	11.86495054
63	11.85699369
64	11.85434114
65	11.85055801
66	11.84648155
67	11.84145809
68	11.83741962
69	11.83419875
70	11.82701431
71	11.82035215
72	11.81369108
73	11.80733971
74	11.79926973
75	11.79080133
76	11.78337177
77	11.77658498
78	11.76683805
79	11.76327615
80	11.75748872
81	11.75355934
82	11.74779486
83	11.74071495
84	11.73379456
85	11.72346903
86	11.71647348
87	11.7052661
88	11.69729639
89	11.68921574
90	11.68301512
91	11.67859399
92	11.67258626
93	11.66605675
94	11.65978416
95	11.65470375
96	11.64664679
97	11.63898171
98	11.63437594
99	11.63004856
