review_index,stars,name,review,publishedAtDate,visit_time,wait_time,tolerance_label,wait_threshold,wait_satisfaction,time_sensitivity,wait_queue_perception,wait_queue_management,wait_environment,facility_quality,technical_issues,safety_perception,staff_attitude,customer_service,express_value,overall_value,recommend_score,overall_satisfaction,weekday,weekend,holiday,wait_time_numeric,season_factor,rides_count,shows_count,other_count,avg_thrill_level,max_thrill_level,facility_diversity,express_usage,main_facility_popularity,review_length_norm,detailed_mention,complaint_intensity,positive_sentiment_ratio,group_interaction_indicator,holiday_pressure_factor,seasonal_mood_adjustment
0,4,user_0,Nice lot if activities need entire day to cover all,5/23/25,Weekday,No wait,high_tolerance,38.016,very_satisfied,time_tolerant,0.0,0.0,0.0,0.4215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4215,1,0,0,0,0.5,0,0,1,0.0,0.0,0.3333333333333333,0,0.006918435289221806,0.102,0.0,0.0196078431372549,0.237,0.0,0.0,0.0
1,5,user_1,"Universal Studios Singapore offers an unforgettable experience packed with excitement, adventure, and fun for all ages! From thrilling rides like Battlestar Galactica and Revenge of the Mummy to family-friendly attractions like Madagascar and Shrek 4D, theres something for everyone. The park is well-organized, clean, and the staff are extremely friendly and helpful. The attention to detail in each themed zonefrom Hollywood to Ancient Egyptis truly impressive. We especially enjoyed the WaterWorld showan action-packed performance that left us in awe. Queues can be long during peak hours, so getting the Express Pass is highly recommended. Dining options are varied and cater to different tastes, and the souvenir shops offer plenty of fun memorabilia. Overall, its a fantastic way to spend a day with family or friends, making memories that will last a lifetime. Highly recommended for tourists and locals alike!",5/23/25,Weekday,No wait,high_tolerance,47.52000000000001,very_satisfied,time_tolerant,0.2716,0.13,0.1111111111111111,0.9932,0.0,0.0,0.7579,0.23200000000000004,0.0,0.0,0.3,0.9932,1,0,0,0,0.5,3,5,3,0.4318181818181818,0.95,1.0,1,0.2691427382438618,1.0,1.0,0.16059614685568885,0.303,1.0,0.0,0.0
2,2,user_2,"Mummy ride was great but cost way too much for express pass and food around the park. Transformers ride was completely closed and waterwork show, battlestar galactica was a nuisance to get on as your not allowed to have anything in your pockets but then have to sit in a 90 minute queue then come out to the locker and have no way of paying. Not even a slimline bumbag holding only a credit card was allowed. They dont have many ways to combat the heat around the park so express pass is the only way unless you wanna sweat all the way through hours of queueing and not enough thrill rides, cyclon was just a bit janky and made me feel sick and human was too slow and boring for such a long queue. I wouldnt recommend.",5/23/25,Weekday,1 hr,tolerance_collapse,50.0,dissatisfied,time_sensitive,-0.9429,-0.136,0.4,-0.9132,0.0,0.0,0.3716,0.137,0.3716,0.137,0.3,-0.9132,1,0,0,60,0.5,3,2,3,0.46875,0.95,1.0,1,0.18388472742405326,1.0,0.0,0.0205692304777064,0.038,0.0,0.0,0.5
7,5,user_7,"Must visit place of Singapore. Please download and use Universal Studios app toknow about wait times, minimum height needed etc Major attractions Revenge of the Mummy Transformers Jurassic Park ride Canopy Flyer Roller Coaster Light, Camera, Action Minion world Enchanted Airways Shrek 4D adventure Wait Times Express entry might help you to reduce wait time, but it is additional cost. Single riders will be available for few rides and it would be useful to reduce wait times.",5/23/25,Weekend,1030 min,high_tolerance,59.400000000000006,very_satisfied,time_tolerant,0.818,0.131,0.75,0.818,0.0,0.0,0.5658,0.10999999999999999,0.3612,0.171,0.0,0.818,0,1,0,20,0.5,6,3,3,0.42916666666666664,0.95,1.0,1,0.2691427382438618,0.954,1.0,0.05660377358490567,0.151,0.5,0.0,0.16666666666666666
8,5,user_8,Very good place for all kids and adults and even adventurers too. Totally it is worth it if you can cover whole universal studios,5/23/25,Weekday,No wait,high_tolerance,47.52,very_satisfied,time_tolerant,0.0,0.0,0.0,0.7397,0.0,0.0,0.0,0.0,0.0,0.164,0.0,0.7397,1,0,0,0,0.5,0,0,2,0.0,0.0,0.3333333333333333,0,0.1569912609238452,0.258,0.0,0.015503875968992248,0.257,0.5,0.0,0.0
10,5,user_10,"While Universal Studios Singapore is smaller than other Universal Studios. There are several must try rides that are definitely worth the line. Dont miss the mummy ride, the Jurassic park ride and the puss and boots ride in far far away. They also recently opened minion land that was pretty interesting. Make sure to bring sun screen and a poncho as you can get wet in some rides.",5/23/25,Weekend,No wait,high_tolerance,59.400000000000006,very_satisfied,time_tolerant,0.5574,0.315,0.2,0.9051,0.0,0.0,0.1139,0.074,0.0,0.315,0.0,0.9051,0,1,0,0,0.5,4,0,1,0.49000000000000005,0.95,0.6666666666666666,0,0.10013524760715772,0.762,0.6666666666666666,0.03331583552055993,0.187,0.0,0.0,0.0
14,5,user_14,"Fantastic park and had a great day with friends , tip is to enter at entry time and youll get a few rides free of queueing",5/22/25,Weekend,Up to 10 min,high_tolerance,39.6,very_satisfied,time_tolerant,0.9337,0.391,1.0,0.9337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9337,0,1,0,5,0.5,0,1,0,0.3,0.3,0.3333333333333333,0,0.2691427382438618,0.244,0.0,0.00819672131147541,0.391,0.5,0.0,0.041666666666666664
18,5,user_18,"Reach early, install the universal app, plan on advance the rides you want to ride and enjoy",5/22/25,Weekday,No wait,high_tolerance,47.52,very_satisfied,time_tolerant,0.0,0.0,0.0,0.5574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5574,1,0,0,0,0.5,0,0,1,0.0,0.0,0.3333333333333333,0,0.053995006242197253,0.184,0.0,0.010869565217391304,0.286,0.0,0.0,0.0
21,5,user_21,"Not bad to play! However, kindergarten children are more afraid of some facilities. You can visit all the rides in half a day with a quick pass!",5/21/25,Weekday,No wait,high_tolerance,31.68,very_satisfied,time_tolerant,0.0,0.0,0.0,0.3395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3395,1,0,0,0,0.5,0,1,3,0.075,0.3,0.6666666666666666,1,0.18388472742405326,0.288,0.0,0.16491935483870968,0.113,0.5,0.0,0.0
22,1,user_22,"Worst place for vegetarian, not much options to eat , you could get icecreams or juices but overpriced. They didn't allow outside food , they want kids to starve?",5/21/25,Weekday,1 hr,tolerance_collapse,50.0,dissatisfied,time_sensitive,0.0,0.0,0.0,-0.7875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7875,1,0,0,60,0.5,0,0,2,0.0,0.0,0.3333333333333333,0,0.12910944652517686,0.324,0.0,0.03254769921436588,0.042,0.5,0.0,0.5
